iter	Passed	Remaining
866	1601	245
867	1602	243
868	1603	241
869	1604	239
870	1605	237
871	1606	235
872	1607	233
873	1609	232
874	1610	230
875	1612	228
876	1613	226
877	1614	224
878	1615	222
879	1616	220
880	1617	218
881	1618	216
882	1619	214
883	1620	212
884	1621	210
885	1623	208
886	1625	207
887	1626	205
888	1627	203
889	1628	201
890	1629	199
891	1631	197
892	1632	195
893	1633	193
894	1633	191
895	1634	189
896	1635	187
897	1637	185
898	1639	184
899	1641	182
900	1642	180
901	1643	178
902	1644	176
903	1645	174
904	1646	172
905	1648	171
906	1649	169
907	1650	167
908	1653	165
909	1657	163
910	1658	162
911	1660	160
912	1662	158
913	1664	156
914	1665	154
915	1666	152
916	1670	151
917	1671	149
918	1672	147
919	1674	145
920	1675	143
921	1676	141
922	1678	140
923	1679	138
924	1681	136
925	1685	134
926	1688	133
927	1691	131
928	1694	129
929	1695	127
930	1697	125
931	1699	123
932	1701	122
933	1703	120
934	1704	118
935	1706	116
936	1708	114
937	1709	112
938	1711	111
939	1714	109
940	1717	107
941	1719	105
942	1720	103
943	1721	102
944	1723	100
945	1725	98
946	1727	96
947	1728	94
948	1731	93
949	1732	91
950	1734	89
951	1736	87
952	1737	85
953	1739	83
954	1740	82
955	1742	80
956	1743	78
957	1747	76
958	1749	74
959	1751	72
960	1752	71
961	1753	69
962	1755	67
963	1756	65
964	1758	63
965	1761	62
966	1763	60
967	1764	58
968	1767	56
969	1770	54
970	1771	52
971	1773	51
972	1776	49
973	1778	47
974	1780	45
975	1782	43
976	1784	42
977	1785	40
978	1787	38
979	1789	36
980	1790	34
981	1792	32
982	1793	31
983	1795	29
984	1796	27
985	1797	25
986	1799	23
987	1800	21
988	1802	20
989	1805	18
990	1807	16
991	1808	14
992	1810	12
993	1812	10
994	1814	9
995	1815	7
996	1816	5
997	1819	3
998	1822	1
999	1825	0
